datetime_of_operation,nominal_train_size,image_path,image_name,classification_result,non_defect_prob,defect_prob,nominal_description,defective_description
2024-11-14T15:10:08.552822,10,textile_0482.jpg,textile_0482.jpg,Nominal,0.504,0.496,"Image textile_0736.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0075.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-14T15:10:08.569679,10,textile_0187.jpg,textile_0187.jpg,Nominal,0.504,0.496,"Image textile_0736.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0193.jpg: A textile pattern with a slight overall distortion from our baseline textile, causing a uniform shift across the entire surface."
2024-11-14T15:10:08.586399,10,textile_0746.jpg,textile_0746.jpg,Nominal,0.503,0.497,"Image textile_0873.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0193.jpg: A textile pattern with a slight overall distortion from our baseline textile, causing a uniform shift across the entire surface."
2024-11-14T15:10:08.603449,10,textile_0593.jpg,textile_0593.jpg,Nominal,0.504,0.496,"Image textile_0155.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0193.jpg: A textile pattern with a slight overall distortion from our baseline textile, causing a uniform shift across the entire surface."
2024-11-14T15:10:08.620023,10,textile_0312.jpg,textile_0312.jpg,Nominal,0.504,0.496,"Image textile_0303.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0193.jpg: A textile pattern with a slight overall distortion from our baseline textile, causing a uniform shift across the entire surface."
2024-11-14T15:10:08.636538,10,textile_0206.jpg,textile_0206.jpg,Nominal,0.504,0.496,"Image textile_0991.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0155.jpg: A textile pattern with a slight overall distortion from our baseline textile, causing a uniform shift across the entire surface."
2024-11-14T15:10:08.652959,10,textile_0909.jpg,textile_0909.jpg,Nominal,0.5,0.5,"Image textile_0553.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0093.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-14T15:10:08.669540,10,textile_0741.jpg,textile_0741.jpg,Nominal,0.502,0.498,"Image textile_0284.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0093.jpg: An image of a textile material with a small localized defect, disrupting the otherwise consistent weave pattern."
2024-11-14T15:10:08.686034,10,textile_0420.jpg,textile_0420.jpg,Nominal,0.505,0.495,"Image textile_0006.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0193.jpg: A textile pattern with a slight overall distortion from our baseline textile, causing a uniform shift across the entire surface."
2024-11-14T15:10:08.702725,10,textile_0776.jpg,textile_0776.jpg,Defective,0.5,0.5,"Image textile_0006.jpg: An image of a textile material with consistent weave patterns, showing no visible defects or irregularities.","Image textile_0153.jpg: A textile pattern with a slight overall distortion from our baseline textile, causing a uniform shift across the entire surface."
